route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,wheelchair_accessible,shape_id
浜田循環(80031),平日,平日_07時35分_系統80031,M35浜田循環→青森駅（旭町通り線）,,,1,1,80031
造道・八重田線(39222),平日,平日_07時36分_系統39222,C10県病→東部〈営〉（造道・八重田線）,,,1,1,39222
造道・八重田線(28142),平日,平日_07時37分_系統28142,C10旭町→東部〈営〉（造道・八重田線）,,,1,1,28142
中筒井線(15031),平日,平日_07時38分_系統15031,J20昭和大仏（中筒井線）,,,0,1,15031
石江・新城線(39081),平日,平日_07時38分_系統39081,T50西部〈営〉（石江・新城線）,,,0,1,39081
福祉増進センター(48211),平日,平日_07時38分_系統48211,60しあわせプラザ（福祉増進センター）,,,1,1,48211
観光通り線(22071),平日,平日_07時39分_系統22071,K37問屋町（観光通り線）,,,0,0,22071
中央大橋線(16151),平日,平日_07時40分_系統16151,L31公立大学（中央大橋線）,,,0,1,16151
観光通り線(22021),平日,平日_07時41分_系統22021,K37問屋町（観光通り線）,,,0,0,22021
造道・八重田線(1022),平日,平日_07時42分_系統1022,C10古川→東部〈営〉（造道・八重田線）,,,0,0,1022
明の星通り線(10011),平日,平日_07時42分_系統10011,G22商業高校（明の星通り線）,,,0,0,10011
旭町通り線(37031),平日,平日_07時43分_系統37031,M42南高校（旭町通り線）,,,0,1,37031
沖館・新田線(45191),平日,平日_07時43分_系統45191,W53野木和団地（沖館・新田線）,,,0,1,45191
国道・古川線(37032),平日,平日_07時43分_系統37032,A1青森駅（国道・古川線）,,,1,0,37032
国道・古川線(45152),平日,平日_07時44分_系統45152,A1青森駅（国道・古川線）,,,1,1,45152
石江・新城線(22032),平日,平日_07時45分_系統22032,T50西部〈営〉（石江・新城線）,,,1,1,22032
観光通り線(21101),平日,平日_07時45分_系統21101,K34市民病院（観光通り線）,,,0,1,21101
国道・古川線(1051),平日,平日_07時47分_系統1051,A1青森駅（国道・古川線）,,,1,0,1051
国道・古川線(28112),平日,平日_07時48分_系統28112,A1中大野→青森駅（国道・古川線）,,,1,1,28112
